name,predicted_points,draft_year,age,round,pick,height,weight,forty_yard,cmp_max,pass_att_max,pass_yards_max,pass_td_max,rush_att_max,rush_yards_max,rush_td_max
Ryan Finley,54.07159291371425,2019.0,25.0,4.0,104.0,76.0,213.0,4.73,326.0,484.0,3928.0,25.0,74.0,194.0,3.0
Will Grier,56.01889414674776,2019.0,24.0,3.0,100.0,74.0,217.0,4.84,266.0,397.0,3864.0,37.0,63.0,122.0,3.0
Dwayne Haskins,144.80383473819796,2019.0,22.0,1.0,15.0,75.0,231.0,5.04,373.0,533.0,4831.0,50.0,79.0,108.0,4.0
Daniel Jones,148.13065267964726,2019.0,22.0,1.0,6.0,77.0,221.0,4.81,270.0,453.0,2836.0,22.0,161.0,518.0,7.0
Drew Lock,127.47302261339185,2019.0,23.0,2.0,42.0,76.0,228.0,4.69,275.0,437.0,3964.0,44.0,55.0,175.0,6.0
Trace McSorley,33.959042205957,2019.0,24.0,6.0,197.0,72.0,202.0,4.57,284.0,427.0,3614.0,29.0,170.0,798.0,12.0
Gardner Minshew,39.21740722024544,2019.0,23.0,6.0,178.0,73.0,225.0,4.97,468.0,662.0,4779.0,38.0,58.0,119.0,4.0
Kyler Murray,211.73860469046926,2019.0,22.0,1.0,1.0,70.0,207.0,4.633147887209179,260.0,377.0,4361.0,42.0,140.0,1001.0,12.0
Jarrett Stidham,34.53031429228964,2019.0,23.0,4.0,133.0,74.0,218.0,4.81,246.0,370.0,3158.0,18.0,103.0,153.0,4.0
Clayton Thorson,33.900035485152806,2019.0,24.0,5.0,167.0,76.0,222.0,4.798688978645086,299.0,489.0,3183.0,22.0,100.0,397.0,9.0
