name,predicted_points,draft_year,age,round,pick,bench_press,bmi,arm_length,forty_yard,bench_press,burst_score,rush_att,rush_yards,rush_td,rec,rec_yards,rec_td
Ryquell Armstead,41.61260951693331,2019.0,23.0,5.0,140.0,22.0,31.42,30.63,4.45,22.0,144.0,210.0,1098.0,13.0,8.0,52.0,0.0
Myles Gaskin,24.025233202418942,2019.0,22.0,7.0,234.0,24.0,31.0,29.5,4.58,24.0,153.5,259.0,1268.0,12.0,21.0,77.0,1.0
Damien Harris,84.58239777311334,2019.0,22.0,3.0,87.0,16.0,31.74,30.75,4.57,16.0,158.0,150.0,876.0,9.0,22.0,204.0,0.0
Darrell Henderson,146.3398818265469,2019.0,22.0,3.0,70.0,22.0,32.39,31.0,4.49,22.0,154.5,214.0,1909.0,22.0,19.0,295.0,3.0
Justice Hill,66.59123479020313,2019.0,22.0,4.0,113.0,21.0,29.09,31.63,4.4,21.0,170.0,158.0,930.0,9.0,13.0,68.0,0.0
Travis Homer,45.730189647185846,2019.0,21.0,6.0,204.0,17.0,29.53,31.5,4.48,17.0,169.5,164.0,985.0,4.0,19.0,186.0,0.0
Josh Jacobs,145.68391544422886,2019.0,21.0,1.0,24.0,15.185246019669487,32.33,31.63,4.458202444064036,15.185246019669487,147.7091591077134,120.0,640.0,11.0,20.0,247.0,3.0
Alexander Mattison,78.70623854261734,2019.0,21.0,3.0,102.0,22.0,31.57,31.0,4.67,22.0,162.0,302.0,1415.0,17.0,27.0,173.0,0.0
David Montgomery,83.48626980741722,2019.0,22.0,3.0,73.0,15.0,32.62,31.38,4.63,15.0,149.5,257.0,1216.0,13.0,22.0,157.0,0.0
Qadree Ollison,43.08581962288595,2019.0,23.0,5.0,152.0,19.0,30.81,31.5,4.58,19.0,143.5,194.0,1213.0,11.0,11.0,66.0,0.0
Tony Pollard,71.81934545726041,2019.0,22.0,4.0,128.0,13.0,29.17,30.0,4.52,13.0,156.0,78.0,552.0,6.0,39.0,458.0,3.0
Miles Sanders,90.87494534848723,2019.0,22.0,2.0,53.0,20.0,30.14,30.63,4.49,20.0,160.0,220.0,1274.0,9.0,24.0,139.0,0.0
Jordan Scarlett,35.94333889740186,2019.0,23.0,5.0,154.0,21.0,29.71,30.38,4.47,21.0,146.0,131.0,776.0,5.0,10.0,84.0,0.0
Devin Singletary,72.8498576238833,2019.0,22.0,3.0,74.0,15.0,32.56,28.88,4.66,15.0,152.0,261.0,1348.0,22.0,6.0,36.0,0.0
Benny Snell Jr.,66.66884289654709,2019.0,21.0,4.0,122.0,16.0,32.91,31.0,4.66,16.0,148.5,289.0,1449.0,16.0,17.0,105.0,0.0
Mike Weber,28.876013876673213,2019.0,22.0,7.0,218.0,22.0,31.0,29.75,4.47,22.0,155.51498531702228,172.0,954.0,5.0,21.0,112.0,1.0
Dexter Williams,48.61250294576939,2019.0,22.0,6.0,194.0,17.0,30.28,32.25,4.57,17.0,166.0,158.0,995.0,12.0,16.0,133.0,1.0
Trayveon Williams,55.778578803721395,2019.0,22.0,6.0,182.0,19.0,32.08,30.38,4.51,19.0,154.0,271.0,1760.0,18.0,27.0,278.0,1.0
