name,predicted_points,draft_year,age,round,pick,height,arm_length,ten_yard,twenty_yard,forty_yard,burst_score,rec,rec_yards,rec_td
Noah Fant,102.90635904316869,2019.0,22.0,1.0,20.0,76.0,33.5,1.6156046159351924,2.6701461765570236,4.5,166.5,39.0,519.0,7.0
Zach Gentry,26.424208203377713,2019.0,23.0,5.0,141.0,80.0,34.13,1.7047928948886384,2.826976062057339,4.9,139.5,32.0,514.0,2.0
T.J. Hockenson,99.49465765621515,2019.0,22.0,1.0,8.0,77.0,32.25,1.6213968058331065,2.704423071170343,4.7,160.5,49.0,760.0,6.0
Dawson Knox,34.39942895370836,2019.0,23.0,3.0,96.0,76.0,33.5,1.6943711342518304,2.811742696877437,4.756727855876105,148.53428943285502,15.0,284.0,0.0
Alize Mack,18.72420389319745,2019.0,22.0,7.0,231.0,76.0,33.75,1.692962708905984,2.806670344088756,4.7,156.0,36.0,360.0,3.0
Foster Moreau,31.39035775801863,2019.0,22.0,4.0,137.0,76.0,33.5,1.6629561068407774,2.8088616168571003,4.66,157.5,22.0,272.0,2.0
Isaac Nauta,14.12383560247818,2019.0,22.0,7.0,224.0,75.0,31.88,1.6797674980756674,2.80164769563097,4.91,144.17634892702688,30.0,430.0,3.0
Josh Oliver,70.15998819179234,2019.0,22.0,3.0,69.0,77.0,33.5,1.645258377498955,2.7292315768791817,4.63,151.0,56.0,709.0,4.0
Drew Sample,52.652909027619806,2019.0,23.0,2.0,52.0,77.0,33.38,1.7035150813721942,2.8303876157856465,4.71,148.5,25.0,252.0,3.0
Irv Smith Jr.,69.10452401684223,2019.0,21.0,2.0,50.0,74.0,31.5,1.6303614975325087,2.7269099397156213,4.63,142.5,44.0,710.0,7.0
Kaden Smith,22.087845403991402,2019.0,22.0,6.0,176.0,77.0,32.25,1.6715820366097942,2.7518373825485347,4.92,140.0,47.0,635.0,2.0
Jace Sternberger,58.254416078401036,2019.0,23.0,3.0,75.0,76.0,32.13,1.6114355667105427,2.6732600907087374,4.75,144.5,48.0,832.0,10.0
Kahale Warring,46.89410218729821,2019.0,22.0,3.0,86.0,77.0,32.75,1.638354247466014,2.735531608371826,4.67,158.5,31.0,372.0,3.0
Trevon Wesco,28.189686223352368,2019.0,24.0,4.0,121.0,75.0,34.75,1.6494138743278706,2.733756104681268,4.89,148.0,26.0,366.0,1.0
Caleb Wilson,22.032624969183093,2019.0,23.0,7.0,254.0,76.0,33.0,1.5945071512551476,2.6828493602890777,4.56,142.0,60.0,965.0,4.0
