name,predicted_points,draft_year,age,round,pick,height,weight,arm_length,hand_size,twenty_yard,forty_yard,rec,rec_yards,rec_td
Miles Boykin,54.498888547636845,2019.0,23.0,3.0,93.0,76.0,220.0,33.5,9.88,2.6675535141371967,4.42,59.0,872.0,8.0
A.J. Brown,100.63774882063032,2019.0,22.0,2.0,51.0,72.0,226.0,32.88,9.75,2.618126530177818,4.49,85.0,1320.0,6.0
Marquise Brown,96.743101737068,2019.0,22.0,1.0,25.0,69.0,166.0,30.5,9.0,2.577728250138338,4.503836980343526,75.0,1318.0,10.0
Hakeem Butler,67.64270520118488,2019.0,23.0,4.0,103.0,77.0,227.0,35.25,10.75,2.596686072815336,4.48,60.0,1318.0,9.0
Parris Campbell,84.15135702577881,2019.0,22.0,2.0,59.0,72.0,205.0,32.25,9.5,2.619293406097276,4.31,90.0,1063.0,12.0
Travis Fulgham,28.2331643219007,2019.0,24.0,6.0,184.0,74.0,215.0,33.75,9.5,2.608475972160926,4.58,63.0,1083.0,9.0
Terry Godwin,20.132035110406264,2019.0,23.0,7.0,237.0,71.0,184.0,30.0,9.38,2.6671037178571075,4.55,23.0,385.0,3.0
Mecole Hardman,87.87247567585625,2019.0,21.0,2.0,56.0,70.0,187.0,30.25,9.0,2.6311665000320668,4.33,35.0,543.0,7.0
Kelvin Harmon,30.488381469054975,2019.0,23.0,6.0,206.0,74.0,221.0,32.5,9.5,2.6250483191659177,4.6,81.0,1186.0,7.0
N'Keal Harry,102.7068860617607,2019.0,22.0,1.0,32.0,74.0,228.0,33.0,9.5,2.683085387091819,4.53,73.0,1088.0,9.0
Jalen Hurd,78.78222550591343,2019.0,23.0,3.0,67.0,77.0,226.0,32.0,10.25,2.6311703618679,4.536207835931679,69.0,946.0,4.0
Andy Isabella,84.22792499295304,2019.0,23.0,2.0,62.0,69.0,188.0,29.75,8.38,2.6104445534210696,4.31,102.0,1698.0,13.0
Gary Jennings Jr.,56.58234181605234,2019.0,22.0,4.0,120.0,73.0,214.0,32.5,9.63,2.604138702187756,4.42,54.0,917.0,13.0
Diontae Johnson,60.756831100032834,2019.0,23.0,3.0,66.0,70.0,183.0,30.75,9.0,2.5937933975820138,4.53,49.0,761.0,8.0
KeeSean Johnson,39.18581266030417,2019.0,23.0,6.0,174.0,73.0,201.0,32.0,9.5,2.6385104086279996,4.6,95.0,1340.0,8.0
