player_id,college_pid,name,first_name,last_name,birth_year,birth_date,draft_year,round,pick,position,position1,draft_year1,height,weight,bmi,arm_length,hand_size,front_shoulder,back_shoulder,wonderlic,pass_velocity,ten_yard,twenty_yard,forty_yard,bench_press,vertical_leap,broad_jump,shuttle,sixty_shuttle,three_cone,four_square
AbbrJa00,jared-abbrederis-1,Jared Abbrederis,Jared,Abbrederis,1991,1990-12-17,2014.0,5.0,176.0,WR,WR,2014.0,73.0,195.0,26.35,31.38,9.63,0.0,0.0,32.0,0.0,1.62,2.65,4.5,4.0,30.5,116.0,4.08,11.39,6.8,0.0
AbduAm00,ameer-abdullah-1,Ameer Abdullah,Ameer,Abdullah,1993,1993-06-13,2015.0,2.0,54.0,RB,RB,2015.0,68.75,205.0,31.23,30.0,8.63,0.0,0.0,0.0,0.0,1.6,2.68,4.6,24.0,42.5,130.0,3.95,11.18,6.79,0.0
AbduKa00,karim-abdul-jabbar-1,Karim Abdul-Jabbar,Karim,Abdul-Jabbar,1974,1974-06-28,1996.0,3.0,80.0,RB,RB,1996.0,70.0,194.0,28.51,31.13,9.75,15.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,115.0,4.29,11.54,0.0,7.77
AbduRa00,,Rabih Abdullah,Rabih,Abdullah,1975,1975-04-27,,,,,,,,,,,,,,,,,,,,,,,,,
AberWa00,walter-abercrombie-1,Walter Abercrombie,Walter,Abercrombie,1959,1959-09-26,,,,,,,,,,,,,,,,,,,,,,,,,
AdamCh00,,Charlie Adams,Charlie,Adams,1979,1979-10-23,,,,,,,,,,,,,,,,,,,,,,,,,
AdamCu00,curtis-adams-1,Curtis Adams,Curtis,Adams,1962,1962-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
AdamDa01,davante-adams-1,Davante Adams,Davante,Adams,1993,1992-12-24,2014.0,2.0,53.0,WR,WR,2014.0,72.88,212.0,28.74,32.63,9.0,0.0,0.0,0.0,0.0,1.64,2.68,4.56,14.0,39.5,123.0,4.3,0.0,6.82,0.0
AdamDa20,david-adams-1,David Adams,David,Adams,1964,1964-06-24,1987.0,12.0,309.0,RB,,,,,,,,,,,,,,,,,,,,,
AdamGe00,george-adams-3,George Adams,George,Adams,1962,1962-12-22,,,,,,,,,,,,,,,,,,,,,,,,,
AdamJe01,jerell-adams-1,Jerell Adams,Jerell,Adams,1993,1992-12-31,2016.0,6.0,184.0,TE,TE,2016.0,77.13,247.0,29.89,34.38,9.75,0.0,0.0,0.0,0.0,1.64,2.72,4.64,0.0,32.5,117.0,4.31,11.52,7.05,0.0
AdamJo01,joe-adams-1,Joe Adams,Joe,Adams,1990,1989-11-22,2012.0,4.0,104.0,WR,WR,2012.0,70.63,179.0,25.83,31.88,9.38,0.0,0.0,0.0,0.0,1.59,2.53,4.51,0.0,36.0,123.0,0.0,0.0,7.09,0.0
AdamJo03,josh-adams-2,Josh Adams,Josh,Adams,1996,1996-10-26,,,,,,,,,,,,,,,,,,,,,,,,,
AdamKr00,,Kris Adams,Kris,Adams,1987,1987-09-04,,,,,,,,,,,,,,,,,,,,,,,,,
AdamKy00,kyle-adams-1,Kyle Adams,Kyle,Adams,1988,1988-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
AdamMi00,mike-adams-1,Mike Adams,Mike,Adams,1974,1974-03-25,1997.0,7.0,223.0,WR,WR,1997.0,71.4,184.0,25.99,31.63,9.13,13.5,15.0,0.0,0.0,1.58,2.68,4.59,0.0,29.5,112.0,4.38,11.89,7.51,0.0
AdamRo01,rodney-adams-1,Rodney Adams,Rodney,Adams,1995,1994-09-15,2017.0,5.0,170.0,WR,WR,2017.0,73.25,189.0,25.36,32.0,9.0,0.0,0.0,0.0,0.0,1.53,2.59,4.44,8.0,29.5,125.0,4.28,11.39,6.98,0.0
AdamTo00,,Tony Adams,Tony,Adams,1950,1950-03-19,,,,,,,,,,,,,,,,,,,,,,,,,
AddaJo00,joseph-addai-1,Joseph Addai,Joseph,Addai,1983,1983-05-03,2006.0,1.0,30.0,RB,RB,2006.0,71.25,214.0,30.35,31.38,9.5,7.0,10.0,0.0,0.0,1.51,2.58,4.43,18.0,37.0,125.0,4.47,0.0,7.09,0.0
AddiBr01,bralon-addison-1,Bralon Addison,Bralon,Addison,1993,1993-10-12,,,,,,,,,,,,,,,,,,,,,,,,,
AdkiJa00,james-adkisson-1,James Adkisson,James,Adkisson,1980,1980-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
AffhEr00,erik-affholter-1,Erik Affholter,Erik,Affholter,1966,1966-04-10,1989.0,4.0,110.0,WR,WR,1989.0,71.6,181.0,25.42,0.0,0.0,0.0,0.0,0.0,0.0,1.55,2.65,4.61,0.0,31.5,108.0,4.41,11.68,0.0,8.03
AgeeTo00,tommie-agee-1,Tommie Agee,Tommie,Agee,1964,1964-02-22,1987.0,5.0,119.0,RB,,,,,,,,,,,,,,,,,,,,,
AghoNe00,nelson-agholor-1,Nelson Agholor,Nelson,Agholor,1993,1993-05-24,2015.0,1.0,20.0,WR,WR,2015.0,72.13,198.0,27.4,32.25,9.25,0.0,0.0,0.0,0.0,1.59,2.59,4.42,12.0,0.0,0.0,0.0,0.0,0.0,0.0
AgneRa00,,Ray Agnew,Ray,Agnew,1991,1991-02-26,,,,,,,,,,,,,,,,,,,,,,,,,
AikeCa20,carl-aikens-1,Carl Aikens,Carl,Aikens,1962,1962-06-05,,,,,,,,,,,,,,,,,,,,,,,,,
AikeKa00,kamar-aiken-1,Kamar Aiken,Kamar,Aiken,1989,1989-05-30,,,,,,,,,,,,,,,,,,,,,,,,,
AikeSa00,sam-aiken-1,Sam Aiken,Sam,Aiken,1981,1980-12-14,2003.0,4.0,127.0,WR,WR,2003.0,73.9,209.0,27.55,31.25,10.0,17.0,14.5,0.0,0.0,1.61,2.7,4.64,0.0,39.5,121.0,0.0,0.0,7.22,0.0
AikmTr00,troy-aikman-1,Troy Aikman,Troy,Aikman,1967,1966-11-21,1989.0,1.0,1.0,QB,,,,,,,,,,,,,,,,,,,,,
AingEr00,erik-ainge-1,Erik Ainge,Erik,Ainge,1986,1986-06-12,2008.0,5.0,162.0,QB,QB,2008.0,77.5,225.0,26.97,33.25,9.13,16.0,19.0,22.0,52.0,1.68,2.89,5.04,0.0,21.5,108.0,4.6,0.0,7.51,0.0
AjayJa00,jay-ajayi-1,Jay Ajayi,Jay,Ajayi,1993,1993-06-15,2015.0,5.0,149.0,RB,RB,2015.0,71.75,221.0,30.91,32.0,10.0,0.0,0.0,24.0,0.0,1.59,2.66,4.57,19.0,39.0,121.0,4.1,11.1,7.1,0.0
AjirSe00,seyi-ajirotutu-1,Seyi Ajirotutu,Seyi,Ajirotutu,1987,1987-06-12,,,,,,,,,,,,,,,,,,,,,,,,,
AkinJo00,jordan-akins-1,Jordan Akins,Jordan,Akins,1992,1992-04-19,2018.0,3.0,98.0,TE,TE,2018.0,75.0,249.0,31.87,32.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlexDa00,danario-alexander-1,Danario Alexander,Danario,Alexander,1986,1986-08-07,,,,,,,,,,,,,,,,,,,,,,,,,
AlexDa21,dan-alexander-1,Dan Alexander,Dan,Alexander,1978,1978-03-17,2001.0,6.0,192.0,RB,,,,,,,,,,,,,,,,,,,,,
AlexDe00,derrick-alexander-1,Derrick Alexander,Derrick,Alexander,1972,1971-11-06,1994.0,1.0,29.0,WR,WR,1994.0,73.1,196.0,26.41,31.5,8.75,0.0,0.0,0.0,0.0,1.63,2.61,4.5,0.0,36.0,127.0,4.19,11.44,0.0,8.04
AlexJe00,jeff-alexander-1,Jeff Alexander,Jeff,Alexander,1965,1965-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
AlexKe00,kevin-alexander-2,Kevin Alexander,Kevin,Alexander,1975,1975-01-23,,,,,,,,,,,,,,,,,,,,,,,,,
AlexMi00,mike-alexander-2,Mike Alexander,Mike,Alexander,1965,1965-03-19,1988.0,8.0,199.0,WR,WR,1988.0,75.3,215.0,27.3,0.0,8.0,0.0,0.0,0.0,0.0,1.65,2.67,4.57,11.0,25.0,104.0,4.57,11.97,0.0,9.91
AlexRa00,,Ray Alexander,Ray,Alexander,1962,1962-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
AlexRi00,rich-alexis-1,Rich Alexis,Rich,Alexis,1981,1981-05-06,,,,,,,,,,,,,,,,,,,,,,,,,
AlexSh00,shaun-alexander-1,Shaun Alexander,Shaun,Alexander,1977,1977-08-30,2000.0,1.0,19.0,RB,,,,,,,,,,,,,,,,,,,,,
AlexSt00,stephen-alexander-1,Stephen Alexander,Stephen,Alexander,1976,1975-11-07,1998.0,2.0,48.0,TE,TE,1998.0,76.4,246.0,30.34,33.25,9.5,10.0,17.5,0.0,0.0,1.68,2.74,4.65,18.0,35.5,122.0,4.09,11.19,7.48,0.0
AlexVi20,vincent-alexander-1,Vincent Alexander,Vincent,Alexander,1964,1964-03-11,,,,,,,,,,,,,,,,,,,,,,,,,
