season,player_id,position,points
1987,AberWa00,RB,90.8
1987,AdamCu00,RB,46.1
1987,AdamDa20,RB,12.2
1987,AdamGe00,RB,76.2
1987,AdamTo00,QB,29.38
1987,AikeCa20,WR,35.5
1987,AlexVi20,RB,15.6
1987,AlleAn00,WR,58.2
1987,AlleMa00,RB,172.82
1987,AlstLy20,WR,21.9
1987,AndeAl00,RB,54.3
1987,AndeGa00,RB,129.8
1987,AndeNe00,RB,164.8
1987,AndeOt00,RB,3.2
1987,AndrMi20,TE,7.3
1987,ArchDa00,QB,0.6
1987,ArnoWa00,TE,4.1
1987,AustCl00,RB,16.8
1987,AwalRo00,TE,108.7
1987,BadaRi00,RB,21.2
1987,BailCl20,RB,5.5
1987,BailEr20,TE,10.9
1987,BailSt00,WR,60.5
1987,BakeSt00,WR,49.0
1987,BankCh00,RB,34.0
1987,BankFr00,WR,7.5
1987,BankGo00,WR,36.6
1987,BarkRo00,WR,28.5
1987,BarnMi21,WR,34.5
1987,BartSt01,RB,8.0
1987,BatyGr00,TE,38.5
1987,BavaMa00,TE,162.2
1987,BeacPa00,TE,37.9
1987,BeecEa20,RB,2.2
1987,BelkVe20,TE,1.2
1987,BellGr00,RB,28.7
1987,BellMa00,WR,9.4
1987,BengBr20,WR,4.3
1987,BennBe20,QB,0.7
1987,BennLe20,WR,29.4
1987,BennWo00,RB,14.0
1987,BensCl00,TE,2.1
1987,BentAl00,RB,178.8
1987,BernKa00,RB,46.3
1987,BernRo00,RB,19.5
1987,BeveDw20,RB,35.0
1987,BlacTo00,QB,10.26
1987,BlanCa00,WR,8.4
1987,BleiBo20,QB,14.74
1987,BligDe00,RB,32.4
1987,BlouAl20,RB,31.5
1987,BlouEd20,QB,0.0
1987,BoddTo20,RB,19.7
1987,BonoSt00,QB,42.92
1987,BoonGr20,RB,0.2
1987,BosoCa00,TE,39.3
1987,BouzMa00,WR,101.9
1987,BoweSa20,TE,1.1
1987,BowmKe21,WR,21.7
1987,BoyeMa00,TE,12.3
1987,BradDa21,RB,20.5
1987,BradSt20,QB,4.78
1987,BranJo20,TE,6.0
1987,BranRe00,RB,6.9
1987,BreeAd20,QB,6.16
1987,BrenBr00,WR,118.2
1987,BrenHo00,TE,50.0
1987,BrewCh00,RB,31.6
1987,BrigWa20,QB,-1.6
1987,BrimJa20,WR,58.8
1987,BrisBu00,QB,-5.2
1987,BrooBi00,WR,115.5
1987,BrooJa00,RB,85.2
1987,BrouWa20,WR,17.5
1987,BrowCh00,WR,12.8
1987,BrowEd00,WR,100.8
1987,BrowEr20,WR,9.4
1987,BrowGo20,RB,14.5
1987,BrowJi20,RB,1.9
1987,BrowLa21,WR,6.0
1987,BrowMa20,WR,22.5
1987,BrowRe20,RB,22.9
1987,BrowRo01,WR,79.3
1987,BrowRo23,WR,3.5
1987,BrowTo00,RB,1.4
1987,BryaCu00,RB,0.2
1987,BryaKe00,RB,147.1
1987,BryaSt00,WR,1.7
1987,BurbCo00,WR,32.3
1987,BurkCh00,WR,128.5
1987,BursTo20,RB,3.6
1987,BuscMi20,QB,19.12
1987,ButlJe21,RB,1.8
1987,ButlRa00,WR,93.0
1987,ByarKe00,RB,94.8
1987,ByneEa00,RB,184.4
1987,BynuRe20,WR,3.4
1987,ByrdSy20,TE,16.0
1987,ByruCa00,RB,31.8
1987,CaldSc20,RB,10.7
1987,CalhRi20,RB,5.8
1987,CampSc00,QB,107.32
1987,CaraJo00,TE,3.9
1987,CarrMa00,WR,73.3
1987,CarrPa00,RB,60.12
1987,CarsCa00,WR,173.2
1987,CartAn00,WR,153.2
1987,CartCr00,WR,22.9
1987,CartGe00,WR,107.6
1987,CartMa00,RB,17.1
1987,CartRo00,RB,45.2
1987,CartSt20,WR,1.7
1987,CarvMe00,RB,0.3
1987,CateMi20,WR,5.6
1987,CavaMa00,QB,-0.2
1987,ChadJe00,WR,56.0
1987,ChanTh00,TE,11.0
1987,ChanWe00,WR,93.2
1987,ChavEd20,WR,14.3
1987,CherTo20,RB,12.5
1987,ChetJo20,RB,1.4
1987,ChirJo20,RB,12.0
1987,ChriJe20,QB,13.98
1987,ChriTo00,TE,101.8
1987,ClarDa23,RB,1.1
1987,ClarDw00,WR,71.0
1987,ClarGa00,WR,176.6
1987,ClarJe00,RB,50.0
1987,ClarRo00,WR,5.3
1987,ClayMa00,WR,143.4
1987,ClemTo21,RB,7.8
1987,ClinJo20,WR,36.5
1987,CobbEr20,RB,2.3
1987,CoffPa00,TE,12.7
1987,CoffWa20,WR,8.1
1987,ColbDa21,WR,3.6
1987,ColeCh20,TE,1.0
1987,CollCr00,WR,64.9
1987,CollRe20,QB,12.4
1987,CollTo01,RB,140.1
1987,CookKe20,RB,0.3
1987,CosbDo00,TE,77.6
1987,CoviJa20,RB,1.4
1987,CoxxAr00,TE,15.6
1987,CraiRo00,RB,187.7
1987,CribJo00,RB,47.5
1987,CrocJi20,QB,8.06
1987,CunnRa00,QB,248.14
1987,DaniGa00,QB,27.24
1987,DarrCh20,WR,4.3
1987,DaugRo20,WR,3.1
1987,DaveRo00,RB,61.8
1987,DaviEl20,RB,4.3
1987,DaviJo01,RB,0.7
1987,DaviKe00,RB,77.3
1987,DawsLi00,TE,14.1
1987,DawsSt20,WR,20.7
1987,DebeSt00,QB,116.84
1987,DennGl00,TE,1.8
1987,DickEr00,RB,190.9
1987,DidiCl00,TE,30.3
1987,DilsSt00,QB,37.44
1987,DiReFr20,RB,0.5
1987,DiRiRo20,RB,12.2
1987,DixoDw20,WR,2.3
1987,DixoFl00,WR,107.7
1987,DollTo20,RB,6.2
1987,DorsTo00,RB,84.8
1987,DougLe20,WR,19.7
1987,DoziDJ00,RB,82.6
1987,DresCh00,TE,1.3
1987,DrewWi00,WR,20.3
1987,DrivSt20,RB,3.1
1987,DuboDo00,RB,9.0
1987,DudeJo20,RB,35.0
1987,DuncCu00,WR,60.2
1987,DupaRe00,RB,51.4
1987,DupeMa00,WR,124.2
1987,EasoTo00,QB,28.62
1987,EdwaKe00,WR,99.2
1987,EdwaSt00,RB,18.6
1987,EllaHe00,WR,123.8
1987,ElleGa00,RB,50.9
1987,ElliCr20,RB,32.2
1987,ElwaJo00,QB,234.32
1987,EmerLa20,RB,6.1
